expiration,strike,option_type,DTE,openInterest
2026-09-11,5.0,CALL,0,10
2026-09-11,5.0,PUT,0,4
2026-09-11,6.0,CALL,0,3
2026-09-11,6.0,PUT,0,2
2026-09-11,7.0,CALL,0,14
2026-09-11,7.0,PUT,0,16
2026-09-11,7.5,CALL,0,20
2026-09-11,7.5,PUT,0,257
2026-09-11,8.0,CALL,0,233
2026-09-11,8.0,PUT,0,502
2026-09-11,8.5,CALL,0,212
2026-09-11,8.5,PUT,0,788
2026-09-11,9.0,CALL,0,1484
2026-09-11,9.0,PUT,0,896
2026-09-11,9.5,CALL,0,3401
2026-09-11,9.5,PUT,0,244
2026-09-11,10.0,CALL,0,2835
2026-09-11,10.0,PUT,0,9
2026-09-11,10.5,CALL,0,532
2026-09-11,10.5,PUT,0,2
2026-09-11,11.0,CALL,0,1138
2026-09-11,11.0,PUT,0,3
2026-09-11,11.5,CALL,0,6
2026-09-11,11.5,PUT,0,5
2026-09-11,12.0,CALL,0,126
2026-09-11,12.0,PUT,0,0
2026-09-11,12.5,CALL,0,3
2026-09-11,12.5,PUT,0,0
2026-09-11,13.0,CALL,0,10
2026-09-11,13.0,PUT,0,0
2026-09-11,13.5,PUT,0,2
2026-09-11,14.0,CALL,0,3
2026-09-11,14.0,PUT,0,0
2026-09-11,14.5,CALL,0,2
2026-09-11,14.5,PUT,0,1
2026-09-11,15.0,CALL,0,6
2026-09-11,15.0,PUT,0,2
2026-09-11,15.5,CALL,0,1
2026-09-11,15.5,PUT,0,0
2026-09-11,16.0,CALL,0,6
2026-09-11,16.0,PUT,0,0
2026-09-11,17.0,PUT,0,2
2026-09-11,18.0,CALL,0,3
2026-09-11,18.0,PUT,0,0
2026-09-11,19.0,CALL,0,2
2026-09-11,19.0,PUT,0,0
2026-09-11,20.0,PUT,0,0
2026-09-11,21.0,PUT,0,0
2026-09-18,1.0,CALL,7,89
2026-09-18,1.0,PUT,7,5
2026-09-18,2.0,CALL,7,3
2026-09-18,3.0,CALL,7,15
2026-09-18,3.0,PUT,7,200
2026-09-18,4.0,CALL,7,22
2026-09-18,4.0,PUT,7,26
2026-09-18,5.0,CALL,7,80
2026-09-18,5.0,PUT,7,723
2026-09-18,6.0,CALL,7,13
2026-09-18,6.0,PUT,7,129
2026-09-18,6.5,CALL,7,6
2026-09-18,6.5,PUT,7,5
2026-09-18,7.0,CALL,7,114
2026-09-18,7.0,PUT,7,1129
2026-09-18,7.5,PUT,7,98
2026-09-18,8.0,CALL,7,507
2026-09-18,8.0,PUT,7,5476
